"DateTime","NIFTY 50"
"1998-07-06 00:00:00",917.35
"1998-07-07 00:00:00",924.7
"1998-07-08 00:00:00",944.15
"1998-07-09 00:00:00",961.05
"1998-07-10 00:00:00",980.15
"1998-07-13 00:00:00",964.35
"1998-07-14 00:00:00",967.35
"1998-07-15 00:00:00",971.4
"1998-07-16 00:00:00",1004.05
"1998-07-17 00:00:00",1000.95
"1998-07-20 00:00:00",977.3
"1998-07-21 00:00:00",965.5
"1998-07-22 00:00:00",965.7
"1998-07-23 00:00:00",934.4
"1998-07-24 00:00:00",920.1
"1998-07-27 00:00:00",899.35
"1998-07-28 00:00:00",917.25
"1998-07-29 00:00:00",937.85
"1998-07-30 00:00:00",932.6
"1998-07-31 00:00:00",931.4
"1998-08-03 00:00:00",906
"1998-08-04 00:00:00",906.2
"1998-08-05 00:00:00",907.45
"1998-08-06 00:00:00",902.75
"1998-08-07 00:00:00",895.55
"1998-08-10 00:00:00",878.75
"1998-08-11 00:00:00",866.5
"1998-08-12 00:00:00",860.1
"1998-08-13 00:00:00",872.25
"1998-08-14 00:00:00",864.1
"1998-08-17 00:00:00",854.55
"1998-08-18 00:00:00",832.45
"1998-08-19 00:00:00",838.3
"1998-08-20 00:00:00",868.7
"1998-08-21 00:00:00",855.45
"1998-08-24 00:00:00",859.8
"1998-08-25 00:00:00",871.9
"1998-08-27 00:00:00",877.45
"1998-08-28 00:00:00",849.8
"1998-08-31 00:00:00",852.8
"1998-09-01 00:00:00",834.55
"1998-09-02 00:00:00",842.5
"1998-09-03 00:00:00",846.45
"1998-09-04 00:00:00",866.5
"1998-09-07 00:00:00",887.1
"1998-09-08 00:00:00",899.95
"1998-09-09 00:00:00",903.6
"1998-09-10 00:00:00",907.4
"1998-09-11 00:00:00",899.7
"1998-09-14 00:00:00",920.5
"1998-09-15 00:00:00",920.8
"1998-09-16 00:00:00",914.5
"1998-09-17 00:00:00",910.1
"1998-09-18 00:00:00",901.65
"1998-09-21 00:00:00",897.7
"1998-09-22 00:00:00",897.25
"1998-09-23 00:00:00",907.75
"1998-09-24 00:00:00",934.8
"1998-09-25 00:00:00",934.95
"1998-09-28 00:00:00",927.9
"1998-09-29 00:00:00",908.4
"1998-09-30 00:00:00",904.95
"1998-10-05 00:00:00",840.75
"1998-10-06 00:00:00",845.75
"1998-10-07 00:00:00",874.25
"1998-10-08 00:00:00",847.95
"1998-10-09 00:00:00",849.1
"1998-10-12 00:00:00",835.8
"1998-10-13 00:00:00",816.75
"1998-10-14 00:00:00",843.55
"1998-10-15 00:00:00",835.65
"1998-10-16 00:00:00",839.5
"1998-10-19 00:00:00",831.25
"1998-10-20 00:00:00",808.7
"1998-10-22 00:00:00",811.6
"1998-10-23 00:00:00",817.35
"1998-10-26 00:00:00",845.25
"1998-10-27 00:00:00",841.6
"1998-10-28 00:00:00",833.85
"1998-10-29 00:00:00",832.25
"1998-10-30 00:00:00",828.85
"1998-10-31 00:00:00",824
"1998-11-02 00:00:00",823.2
"1998-11-03 00:00:00",820.9
"1998-11-05 00:00:00",829.15
"1998-11-06 00:00:00",840.8
"1998-11-09 00:00:00",864.65
"1998-11-10 00:00:00",868.7
"1998-11-11 00:00:00",868.85
"1998-11-12 00:00:00",871.75
"1998-11-13 00:00:00",867.25
"1998-11-16 00:00:00",855.35
"1998-11-17 00:00:00",860
"1998-11-18 00:00:00",875.05
"1998-11-19 00:00:00",865.1
"1998-11-20 00:00:00",857.95
"1998-11-21 00:00:00",857.4
"1998-11-23 00:00:00",847.55
"1998-11-24 00:00:00",841.75
"1998-11-26 00:00:00",824.45
"1998-11-27 00:00:00",812.45
